101010100 北京,北京
101050302 黑龙江,海林
101050303 黑龙江,穆棱
101050304 黑龙江,林口
101050305 黑龙江,绥芬河
101050306 黑龙江,宁安
101050307 黑龙江,东宁
101050401 黑龙江,佳木斯
101050402 黑龙江,汤原
101050403 黑龙江,抚远
101050404 黑龙江,桦川
101050405 黑龙江,桦南
101050406 黑龙江,同江
101050407 黑龙江,富锦
101050501 黑龙江,绥化
101050502 黑龙江,肇东
101050503 黑龙江,安达
101050504 黑龙江,海伦
101050505 黑龙江,明水
101050506 黑龙江,望奎
101050507 黑龙江,兰西
101050508 黑龙江,青冈
101050509 黑龙江,庆安
101050510 黑龙江,绥棱
101050601 黑龙江,黑河
101050602 黑龙江,嫩江
101050603 黑龙江,孙吴
101050604 黑龙江,逊克
101050605 黑龙江,五大连池
101050606 黑龙江,北安
101050701 黑龙江,大兴安岭
101050702 黑龙江,塔河
101050703 黑龙江,漠河
101050704 黑龙江,呼玛
101050705 黑龙江,呼中
101050706 黑龙江,新林
101050708 黑龙江,加格达奇
101050801 黑龙江,伊春
101050802 黑龙江,乌伊岭
101050803 黑龙江,五营
101050804 黑龙江,铁力
101050805 黑龙江,嘉荫
101050901 黑龙江,大庆
101050902 黑龙江,林甸
101050903 黑龙江,肇州
101050904 黑龙江,肇源
101050905 黑龙江,杜尔伯特
101051002 黑龙江,七台河
101051003 黑龙江,勃利
101051101 黑龙江,鸡西
101051102 黑龙江,虎林
101051103 黑龙江,密山
101051104 黑龙江,鸡东
101051201 黑龙江,鹤岗
101051202 黑龙江,绥滨
101051203 黑龙江,萝北
101051301 黑龙江,双鸭山
101051302 黑龙江,集贤
101051303 黑龙江,宝清
101051304 黑龙江,饶河
101051305 黑龙江,友谊
101060101 吉林,长春
101060102 吉林,农安
101060103 吉林,德惠
101060104 吉林,九台
101060105 吉林,榆树
101060106 吉林,双阳
101060201 吉林,吉林
101060202 吉林,舒兰
101060203 吉林,永吉
101060204 吉林,蛟河
101060205 吉林,磐石
101060206 吉林,桦甸
101060301 吉林,延吉
101060302 吉林,敦化
101060303 吉林,安图
101060304 吉林,汪清
101060305 吉林,和龙
101060307 吉林,龙井
101060308 吉林,珲春
101060309 吉林,图们
101060401 吉林,四平
101060402 吉林,双辽
101060403 吉林,梨树
101060404 吉林,公主岭
101060405 吉林,伊通
101060501 吉林,通化
101060502 吉林,梅河口
101060503 吉林,柳河
101060504 吉林,辉南
101060505 吉林,集安
101060506 吉林,通化县
101060601 吉林,白城
101060602 吉林,洮南
101060603 吉林,大安
101060604 吉林,镇赉
101060605 吉林,通榆
101060701 吉林,辽源
101060702 吉林,东丰
101060703 吉林,东辽
101060801 吉林,松原
101060802 吉林,乾安
101060803 吉林,前郭
101060804 吉林,长岭
101060805 吉林,扶余
101060901 吉林,白山
101060902 吉林,靖宇
101060903 吉林,临江
101060904 吉林,东岗
101060905 吉林,长白
101060906 吉林,抚松
101060907 吉林,江源
101070101 辽宁,沈阳
101070103 辽宁,辽中
101070104 辽宁,康平
101070105 辽宁,法库
101070106 辽宁,新民
101070201 辽宁,大连
101070202 辽宁,瓦房店
101070203 辽宁,金州
101070204 辽宁,普兰店
101070205 辽宁,旅顺
101070206 辽宁,长海
101070207 辽宁,庄河
101070301 辽宁,鞍山
101070302 辽宁,台安
101070303 辽宁,岫岩
101070304 辽宁,海城
101070401 辽宁,抚顺
101070402 辽宁,新宾
101070403 辽宁,清原
101070404 辽宁,章党
101070501 辽宁,本溪
101070502 辽宁,本溪县
101070504 辽宁,桓仁
101070601 辽宁,丹东
101070602 辽宁,凤城
101070603 辽宁,宽甸
101070604 辽宁,东港
101070701 辽宁,锦州
101070702 辽宁,凌海
101070704 辽宁,义县
101070705 辽宁,黑山
101070706 辽宁,北镇
101070801 辽宁,营口
101070802 辽宁,大石桥
101070803 辽宁,盖州
101070901 辽宁,阜新
101070902 辽宁,彰武
101071001 辽宁,辽阳
101071002 辽宁,辽阳县
101071003 辽宁,灯塔
101071004 辽宁,弓长岭
101071101 辽宁,铁岭
101071102 辽宁,开原
101071103 辽宁,昌图
101071104 辽宁,西丰
101071105 辽宁,调兵山
101071201 辽宁,朝阳
101071203 辽宁,凌源
101071204 辽宁,喀左
101071205 辽宁,北票
101071207 辽宁,建平县
101071301 辽宁,盘锦
101071302 辽宁,大洼
101071303 辽宁,盘山
101071401 辽宁,葫芦岛
101071402 辽宁,建昌
101071403 辽宁,绥中
101071404 辽宁,兴城
101080101 内蒙古,呼和浩特
101080102 内蒙古,土左旗
101080103 内蒙古,托县
101080104 内蒙古,和林
101080105 内蒙古,清水河
101080106 内蒙古,呼市郊区
101080107 内蒙古,武川
101080201 内蒙古,包头
101080202 内蒙古,白云鄂博
101080203 内蒙古,满都拉
101080204 内蒙古,土右旗
101080205 内蒙古,固阳
101080206 内蒙古,达茂旗
101080207 内蒙古,希拉穆仁
101080301 内蒙古,乌海
101080401 内蒙古,集宁
101080402 内蒙古,卓资
101080403 内蒙古,化德
101080404 内蒙古,商都
101080406 内蒙古,兴和
101080407 内蒙古,凉城
101080408 内蒙古,察右前旗
101080409 内蒙古,察右中旗
101080410 内蒙古,察右后旗
101080411 内蒙古,四子王旗
101080412 内蒙古,丰镇
101080501 内蒙古,通辽
101080502 内蒙古,舍伯吐
101080503 内蒙古,科左中旗
101080504 内蒙古,科左后旗
101080505 内蒙古,青龙山
101080506 内蒙古,开鲁
101080507 内蒙古,库伦
101080508 内蒙古,奈曼
101080509 内蒙古,扎鲁特
101080510 内蒙古,高力板
101080511 内蒙古,巴雅尔吐胡硕
101080601 内蒙古,赤峰
101080603 内蒙古,阿鲁旗
101080604 内蒙古,浩尔吐
101080605 内蒙古,巴林左旗
101080606 内蒙古,巴林右旗
101080607 内蒙古,林西
101080608 内蒙古,克什克腾
101080609 内蒙古,翁牛特
101080610 内蒙古,岗子
101080611 内蒙古,喀喇沁
101080612 内蒙古,八里罕
101080613 内蒙古,宁城
101080614 内蒙古,敖汉
101080615 内蒙古,宝国吐
101080701 内蒙古,鄂尔多斯
101080703 内蒙古,达拉特
101080704 内蒙古,准格尔
101080705 内蒙古,鄂前旗
101080706 内蒙古,河南
101080707 内蒙古,伊克乌素
101080708 内蒙古,鄂托克
101080709 内蒙古,杭锦旗
101080710 内蒙古,乌审旗
101080711 内蒙古,伊金霍洛
101080712 内蒙古,乌审召
101080713 内蒙古,东胜
101080801 内蒙古,临河
101080802 内蒙古,五原
101080803 内蒙古,磴口
101080804 内蒙古,乌前旗
101080805 内蒙古,大佘太
101080806 内蒙古,乌中旗
101080807 内蒙古,乌后旗
101080808 内蒙古,海力素
101080809 内蒙古,那仁宝力格
101080810 内蒙古,杭锦后旗
101080901 内蒙古,锡林浩特
101080903 内蒙古,二连浩特
101080904 内蒙古,阿巴嘎
101080906 内蒙古,苏左旗
101080907 内蒙古,苏右旗
101080908 内蒙古,朱日和
101080909 内蒙古,东乌旗
101080910 内蒙古,西乌旗
101080911 内蒙古,太仆寺
101080912 内蒙古,镶黄旗
101080913 内蒙古,正镶白旗
101080914 内蒙古,正蓝旗
101080915 内蒙古,多伦
101080916 内蒙古,博克图
101080917 内蒙古,乌拉盖
101081001 内蒙古,海拉尔
101081002 内蒙古,小二沟
101081003 内蒙古,阿荣旗
101081004 内蒙古,莫力达瓦
101081005 内蒙古,鄂伦春旗
101081006 内蒙古,鄂温克旗
101081007 内蒙古,陈旗
101081008 内蒙古,新左旗
101081009 内蒙古,新右旗
101081010 内蒙古,满洲里
101081011 内蒙古,牙克石
101081012 内蒙古,扎兰屯
101081014 内蒙古,额尔古纳
101081015 内蒙古,根河
101081016 内蒙古,图里河
101081101 内蒙古,乌兰浩特
101081102 内蒙古,阿尔山
101081103 内蒙古,科右中旗
101081104 内蒙古,胡尔勒
101081105 内蒙古,扎赉特
101081106 内蒙古,索伦
101081107 内蒙古,突泉
101081108 内蒙古,霍林郭勒
101081109 内蒙古,科右前旗
101081201 内蒙古,阿左旗
101081202 内蒙古,阿右旗
101081203 内蒙古,额济纳
101081204 内蒙古,拐子湖
101081205 内蒙古,吉兰太
101081206 内蒙古,锡林高勒
101081207 内蒙古,头道湖
101081208 内蒙古,中泉子
101081209 内蒙古,诺尔公
101081210 内蒙古,雅布赖
101081211 内蒙古,乌斯泰
101081212 内蒙古,孪井滩
101090101 河北,石家庄
101090102 河北,井陉
101090103 河北,正定
101090104 河北,栾城
101090105 河北,行唐
101090106 河北,灵寿
101090107 河北,高邑
101090108 河北,深泽
101090109 河北,赞皇
101090110 河北,无极
101090111 河北,平山
101090112 河北,元氏
101090113 河北,赵县
101090114 河北,辛集
101090115 河北,藁城
101090116 河北,晋州
101090117 河北,新乐
101090118 河北,鹿泉
101090201 河北,保定
101090202 河北,满城
101090203 河北,阜平
101090204 河北,徐水
101090205 河北,唐县
101090206 河北,高阳
101090207 河北,容城
101090209 河北,涞源
101090210 河北,望都
101090211 河北,安新
101090212 河北,易县
101090214 河北,曲阳
101090215 河北,蠡县
101090216 河北,顺平
101090217 河北,雄县
101090218 河北,涿州
101090219 河北,定州
101090220 河北,安国
101090221 河北,高碑店
101090222 河北,涞水
101090223 河北,定兴
101090224 河北,清苑
101090225 河北,博野
101090301 河北,张家口
101090302 河北,宣化
101090303 河北,张北
101090304 河北,康保
101090305 河北,沽源
101090306 河北,尚义
101090307 河北,蔚县
101090308 河北,阳原
101090309 河北,怀安
101090310 河北,万全
101090311 河北,怀来
101090312 河北,涿鹿
101090313 河北,赤城
101090314 河北,崇礼
101090402 河北,承德
101090403 河北,承德县
101090404 河北,兴隆
101090405 河北,平泉
101090406 河北,滦平
101090407 河北,隆化
101090408 河北,丰宁
101090409 河北,宽城
101090410 河北,围场
101090501 河北,唐山
101090502 河北,丰南
101090503 河北,丰润
101090504 河北,滦县
101090505 河北,滦南
101090506 河北,乐亭
101090507 河北,迁西
101090508 河北,玉田
101090509 河北,唐海
101090510 河北,遵化
101090511 河北,迁安
101090512 河北,曹妃甸
101090601 河北,廊坊
101090602 河北,固安
101090603 河北,永清
101090604 河北,香河
101090605 河北,大城
101090606 河北,文安
101090607 河北,大厂
101090608 河北,霸州
101090609 河北,三河
101090701 河北,沧州
101090702 河北,青县
101090703 河北,东光
101090704 河北,海兴
101090705 河北,盐山
101090706 河北,肃宁
101090707 河北,南皮
101090708 河北,吴桥
101090709 河北,献县
101090710 河北,孟村
101090711 河北,泊头
101090712 河北,任丘
101090713 河北,黄骅
101090714 河北,河间
101090716 河北,沧县
101090801 河北,衡水
101090802 河北,枣强
101090803 河北,武邑
101090804 河北,武强
101090805 河北,饶阳
101090806 河北,安平
101090807 河北,故城
101090808 河北,景县
101090809 河北,阜城
101090810 河北,冀州
101090811 河北,深州
101090901 河北,邢台
101090902 河北,临城
101090904 河北,内丘
101090905 河北,柏乡
101090906 河北,隆尧
101090907 河北,南和
101090908 河北,宁晋
101090909 河北,巨鹿
101090910 河北,新河
101090911 河北,广宗
101090912 河北,平乡
101090913 河北,威县
101090914 河北,清河
101090915 河北,临西
101090916 河北,南宫
101090917 河北,沙河
101090918 河北,任县
101091001 河北,邯郸
101091002 河北,峰峰
101091003 河北,临漳
101091004 河北,成安
101091005 河北,大名
101091006 河北,涉县
101091007 河北,磁县
101091008 河北,肥乡
101091009 河北,永年
101091010 河北,邱县
101091011 河北,鸡泽
101091012 河北,广平
101091013 河北,馆陶
101091014 河北,魏县
101091015 河北,曲周
101091016 河北,武安
101091101 河北,秦皇岛
101091102 河北,青龙
101091103 河北,昌黎
101091104 河北,抚宁
101091105 河北,卢龙
101091106 河北,北戴河
101100101 山西,太原
101100102 山西,清徐
101100103 山西,阳曲
101100104 山西,娄烦
101100105 山西,古交
101100106 山西,尖草坪区
101100107 山西,小店区
101100201 山西,大同
101100202 山西,阳高
101100203 山西,大同县
101100204 山西,天镇
101100205 山西,广灵
101100206 山西,灵丘
101100207 山西,浑源
101100208 山西,左云
101100301 山西,阳泉
101100302 山西,盂县
101100303 山西,平定
101100401 山西,晋中
101100402 山西,榆次
101100403 山西,榆社
101100404 山西,左权
101100405 山西,和顺
101100406 山西,昔阳
101100407 山西,寿阳
101100408 山西,太谷
101100409 山西,祁县
101100410 山西,平遥
101100411 山西,灵石
101100412 山西,介休
101100501 山西,长治
101100502 山西,黎城
101100503 山西,屯留
101100504 山西,潞城
101100505 山西,襄垣
101100506 山西,平顺
101100507 山西,武乡
101100508 山西,沁县
101100509 山西,长子
101100510 山西,沁源
101100511 山西,壶关
101100601 山西,晋城
101100602 山西,沁水
101100603 山西,阳城
101100604 山西,陵川
101100605 山西,高平
101100606 山西,泽州
101100701 山西,临汾
101100702 山西,曲沃
101100703 山西,永和
101100704 山西,隰县
101100705 山西,大宁
101100706 山西,吉县
101100707 山西,襄汾
101100708 山西,蒲县
101100709 山西,汾西
101100710 山西,洪洞
101100711 山西,霍州
101100712 山西,乡宁
101100713 山西,翼城
101100714 山西,侯马
101100715 山西,浮山
101100716 山西,安泽
101100717 山西,古县
101100801 山西,运城
101100802 山西,临猗
101100803 山西,稷山
101100804 山西,万荣
101100805 山西,河津
101100806 山西,新绛
101100807 山西,绛县
101100808 山西,闻喜
101100809 山西,垣曲
101100810 山西,永济
101100811 山西,芮城
101100812 山西,夏县
101100813 山西,平陆
101100901 山西,朔州
101100902 山西,平鲁
101100903 山西,山阴
101100904 山西,右玉
101100905 山西,应县
101100906 山西,怀仁
101101001 山西,忻州
101101002 山西,定襄
101101003 山西,五台县
101101004 山西,河曲
101101005 山西,偏关
101101006 山西,神池
101101007 山西,宁武
101101008 山西,代县
101101009 山西,繁峙
101101010 山西,五台山
101101011 山西,保德
101101012 山西,静乐
101101013 山西,岢岚
101101014 山西,五寨
101101015 山西,原平
101101100 山西,吕梁
101101101 山西,离石
101101102 山西,临县
101101103 山西,兴县
101101104 山西,岚县
101101105 山西,柳林
101101106 山西,石楼
101101107 山西,方山
101101108 山西,交口
101101109 山西,中阳
101101110 山西,孝义
101101111 山西,汾阳
101101112 山西,文水
101101113 山西,交城
101110101 陕西,西安
101110102 陕西,长安
101110103 陕西,临潼
101110104 陕西,蓝田
101110105 陕西,周至
101110106 陕西,户县
101110107 陕西,高陵
101110200 陕西,咸阳
101110201 陕西,三原
101110202 陕西,礼泉
101110203 陕西,永寿
101110204 陕西,淳化
101110205 陕西,泾阳
101110206 陕西,武功
101110207 陕西,乾县
101110208 陕西,彬县
101110209 陕西,长武
101110210 陕西,旬邑
101110211 陕西,兴平
101110300 陕西,延安
101110301 陕西,延长
101110302 陕西,延川
101110303 陕西,子长
101110304 陕西,宜川
101110305 陕西,富县
101110306 陕西,志丹
101110307 陕西,安塞
101110308 陕西,甘泉
101110309 陕西,洛川
101110310 陕西,黄陵
101110311 陕西,黄龙
101110312 陕西,吴起
101110401 陕西,榆林
101110402 陕西,府谷
101110403 陕西,神木
101110404 陕西,佳县
101110405 陕西,定边
101110406 陕西,靖边
101110407 陕西,横山
101110408 陕西,米脂
101110409 陕西,子洲
101110410 陕西,绥德
101110411 陕西,吴堡
101110412 陕西,清涧
101110413 陕西,榆阳
101110501 陕西,渭南
101110502 陕西,华县
101110503 陕西,潼关
101110504 陕西,大荔
101110505 陕西,白水
101110506 陕西,富平
101110507 陕西,蒲城
101110508 陕西,澄城
101110509 陕西,合阳
101110510 陕西,韩城
101110511 陕西,华阴
101110601 陕西,商洛
101110602 陕西,洛南
101110603 陕西,柞水
101110604 陕西,商州
101110605 陕西,镇安
101110606 陕西,丹凤
101110607 陕西,商南
101110608 陕西,山阳
101110701 陕西,安康
101110702 陕西,紫阳
101110703 陕西,石泉
101110704 陕西,汉阴
101110705 陕西,旬阳
101110706 陕西,岚皋
101110707 陕西,平利
101110708 陕西,白河
101110709 陕西,镇坪
101110710 陕西,宁陕
101110801 陕西,汉中
101110802 陕西,略阳
101110803 陕西,勉县
101110804 陕西,留坝
101110805 陕西,洋县
101110806 陕西,城固
101110807 陕西,西乡
101110808 陕西,佛坪
101110809 陕西,宁强
101110810 陕西,南郑
101110811 陕西,镇巴
101110901 陕西,宝鸡
101110903 陕西,千阳
101110904 陕西,麟游
101110905 陕西,岐山
101110906 陕西,凤翔
101110907 陕西,扶风
101110908 陕西,眉县
101110909 陕西,太白
101110910 陕西,凤县
101110911 陕西,陇县
101110912 陕西,陈仓
101111001 陕西,铜川
101111002 陕西,耀县
101111003 陕西,宜君
101111004 陕西,耀州
101111101 陕西,杨凌
101120101 山东,济南
101120102 山东,长清
101120103 山东,商河
101120104 山东,章丘
101120105 山东,平阴
101120106 山东,济阳
101120201 山东,青岛
101120202 山东,崂山
101120204 山东,即墨
101120205 山东,胶州
101120206 山东,黄岛
101120207 山东,莱西
101120208 山东,平度
101120301 山东,淄博
101120302 山东,淄川
101120303 山东,博山
101120304 山东,高青
101120305 山东,周村
101120306 山东,沂源
101120307 山东,桓台
101120308 山东,临淄
101120401 山东,德州
101120402 山东,武城
101120403 山东,临邑
101120404 山东,陵县
101120405 山东,齐河
101120406 山东,乐陵
101120407 山东,庆云
101120408 山东,平原
101120409 山东,宁津
101120410 山东,夏津
101120411 山东,禹城
101120501 山东,烟台
101120502 山东,莱州
101120503 山东,长岛
101120504 山东,蓬莱
101120505 山东,龙口
101120506 山东,招远
101120507 山东,栖霞
101120508 山东,福山
101120509 山东,牟平
101120510 山东,莱阳
101120511 山东,海阳
101120601 山东,潍坊
101120602 山东,青州
101120603 山东,寿光
101120604 山东,临朐
101120605 山东,昌乐
101120606 山东,昌邑
101120607 山东,安丘
101120608 山东,高密
101120609 山东,诸城
101120701 山东,济宁
101120702 山东,嘉祥
101120703 山东,微山
101120704 山东,鱼台
101120705 山东,兖州
101120706 山东,金乡
101120707 山东,汶上
101120708 山东,泗水
101120709 山东,梁山
101120710 山东,曲阜
101120711 山东,邹城
101120801 山东,泰安
101120802 山东,新泰
101120804 山东,肥城
101120805 山东,东平
101120806 山东,宁阳
101120901 山东,临沂
101120902 山东,莒南
101120903 山东,沂南
101120904 山东,兰陵
101120905 山东,临沭
101120906 山东,郯城
101120907 山东,蒙阴
101120908 山东,平邑
101120909 山东,费县
101120910 山东,沂水
101121001 山东,菏泽
101121002 山东,鄄城
101121003 山东,郓城
101121004 山东,东明
101121005 山东,定陶
101121006 山东,巨野
101121007 山东,曹县
101121008 山东,成武
101121009 山东,单县
101121101 山东,滨州
101121102 山东,博兴
101121103 山东,无棣
101121104 山东,阳信
101121105 山东,惠民
101121106 山东,沾化
101121107 山东,邹平
101121201 山东,东营
101121202 山东,河口
101121203 山东,垦利
101121204 山东,利津
101121205 山东,广饶
101121301 山东,威海
101121302 山东,文登
101121303 山东,荣成
101121304 山东,乳山
101121305 山东,成山头
101121306 山东,石岛
101121401 山东,枣庄
101121402 山东,薛城
101121403 山东,峄城
101121404 山东,台儿庄
101121405 山东,滕州
101121501 山东,日照
101121502 山东,五莲
101121503 山东,莒县
101121601 山东,莱芜
101121701 山东,聊城
101121702 山东,冠县
101121703 山东,阳谷
101121704 山东,高唐
101121705 山东,茌平
101121706 山东,东阿
101121707 山东,临清
101121709 山东,莘县
101130101 新疆,乌鲁木齐
101130103 新疆,小渠子
101130105 新疆,达坂城
101130108 新疆,乌鲁木齐牧试站
101130109 新疆,天池
101130110 新疆,白杨沟
101130201 新疆,克拉玛依
101130202 新疆,乌尔禾
101130203 新疆,白碱滩
101130301 新疆,石河子
101130302 新疆,炮台
101130303 新疆,莫索湾
101130401 新疆,昌吉
101130402 新疆,呼图壁
101130403 新疆,米泉
101130404 新疆,阜康
101130405 新疆,吉木萨尔
101130406 新疆,奇台
101130407 新疆,玛纳斯
101130408 新疆,木垒
101130409 新疆,蔡家湖
101130501 新疆,吐鲁番
101130502 新疆,托克逊
101130504 新疆,鄯善
101130601 新疆,库尔勒
101130602 新疆,轮台
101130603 新疆,尉犁
101130604 新疆,若羌
101130605 新疆,且末
101130606 新疆,和静
101130607 新疆,焉耆
101130608 新疆,和硕
101130610 新疆,巴音布鲁克
101130611 新疆,铁干里克
101130612 新疆,博湖
101130613 新疆,塔中
101130614 新疆,巴仑台
101130701 新疆,阿拉尔
101130801 新疆,阿克苏
101130802 新疆,乌什
101130803 新疆,温宿
101130804 新疆,拜城
101130805 新疆,新和
101130806 新疆,沙雅
101130807 新疆,库车
101130808 新疆,柯坪
101130809 新疆,阿瓦提
101130901 新疆,喀什
101130902 新疆,英吉沙
101130903 新疆,塔什库尔干
101130904 新疆,麦盖提
101130905 新疆,莎车
101130906 新疆,叶城
101130907 新疆,泽普
101130908 新疆,巴楚
101130909 新疆,岳普湖
101130910 新疆,伽师
101130911 新疆,疏附
101130912 新疆,疏勒
101131001 新疆,伊宁
101131002 新疆,察布查尔
101131003 新疆,尼勒克
101131004 新疆,伊宁县
101131005 新疆,巩留
101131006 新疆,新源
101131007 新疆,昭苏
101131008 新疆,特克斯
101131009 新疆,霍城
101131010 新疆,霍尔果斯
101131011 新疆,奎屯
101131101 新疆,塔城
101131102 新疆,裕民
101131103 新疆,额敏
101131104 新疆,和布克赛尔
101131105 新疆,托里
101131106 新疆,乌苏
101131107 新疆,沙湾
101131201 新疆,哈密
101131203 新疆,巴里坤
101131204 新疆,伊吾
101131301 新疆,和田
101131302 新疆,皮山
101131303 新疆,策勒
101131304 新疆,墨玉
101131305 新疆,洛浦
101131306 新疆,民丰
101131307 新疆,于田
101131401 新疆,阿勒泰
101131402 新疆,哈巴河
101131405 新疆,吉木乃
101131406 新疆,布尔津
101131407 新疆,福海
101131408 新疆,富蕴
101131409 新疆,青河
101131501 新疆,阿图什
101131502 新疆,乌恰
101131503 新疆,阿克陶
101131504 新疆,阿合奇
101131601 新疆,博乐
101131602 新疆,温泉
101131603 新疆,精河
101131606 新疆,阿拉山口
101140101 西藏,拉萨
101140102 西藏,当雄
101140103 西藏,尼木
101140104 西藏,林周
101140105 西藏,堆龙德庆
101140106 西藏,曲水
101140107 西藏,达孜
101140108 西藏,墨竹工卡
101140201 西藏,日喀则
101140202 西藏,拉孜
101140203 西藏,南木林
101140204 西藏,聂拉木
101140205 西藏,定日
101140206 西藏,江孜
101140207 西藏,帕里
101140208 西藏,仲巴
101140209 西藏,萨嘎
101140210 西藏,吉隆
101140211 西藏,昂仁
101140212 西藏,定结
101140213 西藏,萨迦
101140214 西藏,谢通门
101140216 西藏,岗巴
101140217 西藏,白朗
101140218 西藏,亚东
101140219 西藏,康马
101140220 西藏,仁布
101140301 西藏,山南
101140302 西藏,贡嘎
101140303 西藏,札囊
101140304 西藏,加查
101140305 西藏,浪卡子
101140306 西藏,错那
101140307 西藏,隆子
101140308 西藏,泽当
101140309 西藏,乃东
101140310 西藏,桑日
101140311 西藏,洛扎
101140312 西藏,措美
101140313 西藏,琼结
101140314 西藏,曲松
101140401 西藏,林芝
101140402 西藏,波密
101140403 西藏,米林
101140404 西藏,察隅
101140405 西藏,工布江达
101140406 西藏,朗县
101140407 西藏,墨脱
101140501 西藏,昌都
101140502 西藏,丁青
101140503 西藏,边坝
101140504 西藏,洛隆
101140505 西藏,左贡
101140506 西藏,芒康
101140507 西藏,类乌齐
101140508 西藏,八宿
101140509 西藏,江达
101140510 西藏,察雅
101140511 西藏,贡觉
101140601 西藏,那曲
101140602 西藏,尼玛
101140603 西藏,嘉黎
101140604 西藏,班戈
101140605 西藏,安多
101140606 西藏,索县
101140607 西藏,聂荣
101140608 西藏,巴青
101140609 西藏,比如
101140610 西藏,双湖
101140701 西藏,阿里
101140702 西藏,改则
101140703 西藏,申扎
101140704 西藏,狮泉河
101140705 西藏,普兰
101140706 西藏,札达
101140707 西藏,噶尔
101140708 西藏,日土
101140709 西藏,革吉
101140710 西藏,措勤
101150101 青海,西宁
101150102 青海,大通
101150103 青海,湟源
101150104 青海,湟中
101150201 青海,海东
101150202 青海,乐都
101150203 青海,民和
101150204 青海,互助
101150205 青海,化隆
101150206 青海,循化
101150207 青海,冷湖
101150208 青海,平安
101150301 青海,黄南
101150302 青海,尖扎
101150303 青海,泽库
101150304 青海,河南
101150305 青海,同仁
101150401 青海,海南
101150404 青海,贵德
101150406 青海,兴海
101150407 青海,贵南
101150408 青海,同德
101150409 青海,共和
101150501 青海,果洛
101150502 青海,班玛
101150503 青海,甘德
101150504 青海,达日
101150505 青海,久治
101150506 青海,玛多
101150508 青海,玛沁
101150601 青海,玉树
101150602 青海,称多
101150603 青海,治多
101150604 青海,杂多
101150605 青海,囊谦
101150606 青海,曲麻莱
101150701 青海,海西
101150708 青海,天峻
101150709 青海,乌兰
101150712 青海,茫崖
101150713 青海,大柴旦
101150716 青海,德令哈
101150801 青海,海北
101150802 青海,门源
101150803 青海,祁连
101150804 青海,海晏
101150806 青海,刚察
101150901 青海,格尔木
101150902 青海,都兰
101160101 甘肃,兰州
101160102 甘肃,皋兰
101160103 甘肃,永登
101160104 甘肃,榆中
101160201 甘肃,定西
101160202 甘肃,通渭
101160203 甘肃,陇西
101160204 甘肃,渭源
101160205 甘肃,临洮
101160206 甘肃,漳县
101160207 甘肃,岷县
101160208 甘肃,安定
101160301 甘肃,平凉
101160302 甘肃,泾川
101160303 甘肃,灵台
101160304 甘肃,崇信
101160305 甘肃,华亭
101160306 甘肃,庄浪
101160307 甘肃,静宁
101160308 甘肃,崆峒
101160401 甘肃,庆阳
101160403 甘肃,环县
101160404 甘肃,华池
101160405 甘肃,合水
101160406 甘肃,正宁
101160407 甘肃,宁县
101160408 甘肃,镇原
101160409 甘肃,庆城
101160501 甘肃,武威
101160502 甘肃,民勤
101160503 甘肃,古浪
101160505 甘肃,天祝
101160601 甘肃,金昌
101160602 甘肃,永昌
101160701 甘肃,张掖
